,Open,High,Low,Close,Volume,Next_Change,MACD,signal_line,MACD_signals,previous_MACD_signal,MACD_change,signal_change,convergence,RSI,Stochastic_Oscillator,stoch_ma,STOCH_signals,previous_STOCH_signal,STOCH_change,STOCH_ma_change,stoch_convergence
2014-09-15,69.55,73.57694312432929,68.16838877816954,67.2,10120926,0,7.05110637871698,5.419572415488801,1,1.0,1,1,-0.3434207623697816,76.19032113324981,79.72067145324309,86.15878420152387,0,89.91362831501915,0,0,-3.754844113495267
2014-09-16,65.4,64.71559323118119,61.5424962808688,65.23,8576158,1,6.864105879587008,5.708479108308443,0,1.0,0,1,-0.47590719194961384,70.90603809535071,73.45587083353973,79.8073275175318,0,79.72067145324309,0,0,0.08665606428871797
2014-09-17,67.0,69.12522538821047,67.19973164480628,67.22,5893871,0,6.79811852694003,5.92640699203476,0,0.0,0,1,-0.2839152363732955,72.94716752275001,79.78427348999132,79.79580050376157,1,73.45587083353973,1,0,6.339929670221821
2014-09-18,68.1,67.78096875,65.15540625,66.33,5871786,1,6.5979504469238535,6.060715683012579,0,0.0,0,1,-0.3344767709939953,70.56284301771646,72.47067551282528,76.13323800829343,0,79.78427348999132,0,0,-3.651035481697903
2014-09-19,66.05,66.24520287095358,63.0953566720375,67.2,5931891,1,6.435334994524574,6.135639545314978,0,0.0,0,1,-0.23753931470167888,71.54204993196826,75.775587928025,75.95441296815922,1,72.47067551282528,1,0,3.4837374553339373
2014-09-22,67.05,64.54175356750824,62.29356476399561,68.27,4185489,1,6.319948699972159,6.172501376246415,0,0.0,0,1,-0.15224812548385191,72.74294946335465,79.84025032373034,77.89733164594477,1,75.775587928025,1,1,2.1217437179197844
2014-09-23,68.85,68.19843996941117,63.479724700484326,72.88,8066474,1,6.525273412787541,6.243055783554641,1,0.0,1,1,0.13477030550715696,77.20594528139566,97.35248737438626,87.62490951016551,1,79.84025032373034,1,1,7.784659186435178
2014-09-24,74.5,76.07657606690444,71.26148075267494,78.46,12110395,1,7.056906467981506,6.405825920440014,1,1.0,1,1,0.36886291830859097,81.21526469752938,108.96533625454649,98.295122882356,1,97.35248737438626,1,1,0.9426355079697402
2014-09-25,81.5,80.85442630937882,75.4746952496955,81.31,14393309,1,7.620357933241934,6.648732323000399,1,1.0,1,1,0.32054506270004346,82.8723407091693,101.86635597009615,100.08073942622607,0,108.96533625454649,0,1,-8.884596828320412
2014-09-26,79.0,74.39014734990104,69.97548933362657,82.1,13003673,1,8.037986768608455,6.926583212122011,1,1.0,1,1,0.13977794624490958,83.31179517947083,105.78025859385217,102.93049901003911,1,101.86635597009615,1,1,1.0641430399429765
2014-09-29,81.99,89.06684951974385,77.64354322305229,90.94,26687421,1,8.97877304396846,7.3370211784913,1,1.0,1,1,0.5303483089907148,87.253032641701,106.80542959174979,104.86796430089444,1,105.78025859385217,1,1,-0.9122942929577107
2014-09-30,94.775,98.44624183006536,90.36232026143792,93.7,31756088,0,9.833705048379088,7.836357952468858,1,1.0,1,1,0.35559523043307006,88.1907796903965,87.13886149106973,96.00341289598208,0,106.80542959174979,0,0,-10.80201669576769
2014-10-01,92.31,100.93047999063891,95.4629768312661,91.8,12921815,0,10.239891603989918,8.31706468277307,1,1.0,1,1,-0.07452017469338212,83.6296909052468,76.81912316731734,86.41126803164971,0,87.13886149106973,0,0,-0.7275934594200208
2014-10-02,87.42,87.40562262849258,77.75612050132229,85.46,27451224,1,9.935680026716469,8.640787751561751,0,1.0,0,1,-0.6279346460621298,70.52291333605095,60.72284353361937,73.56705578263454,0,76.81912316731734,0,0,-3.252067384682803
2014-10-03,88.5,83.27013540889219,80.23791555602942,86.97,12098407,1,9.704566340513992,8.8535434693522,0,0.0,0,1,-0.4438694039929256,71.66205103355358,64.55650003943704,69.06177791103579,1,60.72284353361937,1,0,8.338934377416422
2014-10-06,89.48,94.25320367607885,88.44342035162494,93.79,13048866,1,9.956946599580277,9.074224095397817,1,0.0,1,1,0.03169963302066847,76.14586381828369,81.51902151413225,75.29039971258402,1,64.55650003943704,1,1,10.73389967314698
2014-10-07,92.35,102.76225397531412,95.19623040142332,93.85,20856597,0,10.045997268654077,9.268578730049068,1,1.0,1,1,-0.10530396557745192,76.18157002764522,77.97740883383615,76.63390427321008,0,81.51902151413225,0,1,-4.885117240922156
2014-10-08,91.0,93.55019174702848,87.89301188607311,89.93,13042875,0,9.688575459311295,9.352578075901514,0,1.0,0,1,-0.4414211551952274,68.9228086500513,68.29090779711956,72.46240603516482,0,77.97740883383615,0,0,-5.515002798671333
2014-10-09,91.3,96.86594238683128,91.53925925925927,89.18,8025761,0,9.23830395103063,9.329723250927337,0,0.0,0,0,-0.42741668330648785,67.59574474170657,66.43762315999265,69.45001459757873,0,68.29090779711956,0,0,1.1591068004591847
2014-10-10,87.91,99.71494065475413,92.70416721012128,85.05,7159655,0,8.450788621739179,9.153936325089706,0,0.0,0,0,-0.6117284034538208,60.66842744089198,54.910607075743414,62.18031083666107,0,66.43762315999265,0,0,-4.257312323331583
2014-10-13,82.35,85.22295081967214,74.88174863387978,76.67,13263514,0,7.068994120194731,8.736947884110712,0,0.0,0,0,-0.9648060605654543,49.56829095180055,20.418332639816278,41.299321738238675,0,54.910607075743414,0,0,-13.61128533750474
2014-10-14,78.6,83.33004573898724,76.64653766982298,75.03,6770363,0,5.775007042116371,8.144559715711845,0,0.0,0,0,-0.7015989096794915,47.72784968696596,15.416314240249088,28.35781798924388,0,20.418332639816278,0,0,7.9394853494276045
2014-10-15,71.03,75.03534874122988,68.50922822946761,72.87,8720357,0,4.523079763939691,7.420263725357414,0,0.0,0,0,-0.52763128782225,45.34006719897586,12.731055652977394,20.544436821110637,0,15.416314240249088,0,0,5.12812258086155
2014-10-16,69.1,72.93350127294653,66.81674929652954,72.69,6143538,1,3.4763210159215987,6.6314751834702514,0,0.0,0,0,-0.25797020613092947,45.137409567249726,16.339319077461486,18.44187794928606,1,12.731055652977394,1,0,5.7108222963086686
2014-10-17,75.8,75.36648026315788,71.4778644736842,74.63,4707421,1,2.7713525265522065,5.859450652086643,0,0.0,0,0,0.06705604201421611,47.84326807488729,21.736377812166097,20.08912788072608,1,16.339319077461486,1,1,3.7498088032645924
2014-10-20,75.03,72.8724666337123,70.25257043994068,76.0,3644613,1,2.296732171330561,5.146906955935426,0,0.0,0,0,0.23792334092957113,49.728873885720226,25.54770279492143,22.818415337823755,1,21.736377812166097,1,1,1.0820375256576575
2014-10-21,77.96,83.64798102135099,77.9091172431015,80.92,7332249,0,2.291183663150292,4.575762297378399,0,0.0,0,0,0.5655961503767584,55.89556279641347,39.2350888643785,31.026752101101124,1,25.54770279492143,1,1,5.4790493061796965
2014-10-22,84.0,85.95888186986734,80.62629437776374,80.09,8236797,0,2.1945153600102003,4.099512909904759,0,0.0,0,0,0.3795810843335481,54.67703331310153,36.926037962417254,33.97639503175919,0,39.2350888643785,0,1,-5.258693832619308
2014-10-23,82.42,91.14742733973023,85.72106800166875,79.15,7535906,0,2.0187836084330684,3.683367049610421,0,0.0,0,0,0.24041410871720625,53.26090789419229,34.31096826622018,34.143681648989684,0,36.926037962417254,0,1,-2.78235631342757
2014-10-24,75.63,84.74988445539978,77.87018795254968,71.91,12231242,0,1.2805460981269619,3.2028028593137297,0,0.0,0,0,-0.257673320009415,43.842321705571734,14.169367627425606,24.156524638207646,0,34.31096826622018,0,0,-10.154443628012535
2014-10-27,66.96,65.42515873015873,60.64823232323232,64.91,9277457,1,0.12915721001674285,2.5880737294543326,0,0.0,0,0,-0.5366597582508219,37.024965706683055,10.908949995484972,17.53273731684631,0,14.169367627425606,0,0,3.363369689420704
2014-10-28,66.6,72.37251436146707,67.98320813079981,69.3,7815082,0,-0.42420054801850426,1.9856188739597653,0,0.0,0,0,0.049097097459319894,43.01006991601092,22.146139376136823,19.839438346491566,1,10.908949995484972,1,1,8.930488351006593
